"","id","jail","state","county","fips","statecode","treated","year","mortality_rate"
"229",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2008,0.522739153162572
"230",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2009,1.09529025191676
"231",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2010,0
"232",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2011,0
"233",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2012,0
"234",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2013,1.47275405007364
"235",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2014,1.00150225338007
"236",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2015,3.80848748639826
"237",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2016,2.7027027027027
"238",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2017,2.67952840300107
"239",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",1,2018,4.33839479392625
"240",20,"Pima County Adult Detention Complex","Arizona","Pima",4019,"AZ",NA,2019,2.14018191546281
"241",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2008,2.37906423473434
"242",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2009,0.793650793650794
"243",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2010,0
"244",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2011,0.850340136054422
"245",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2012,0
"246",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2013,0
"247",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2014,0
"248",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2015,4.68933177022274
"249",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",0,2016,2.14592274678112
"250",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",1,2017,2
"251",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",1,2018,4.03225806451613
"252",21,"Pinal County Jail","Arizona","Pinal",4021,"AZ",1,2019,0
"253",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2008,0
"254",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2009,0
"255",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2010,0
"256",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2011,0
"257",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2012,0
"258",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2013,0
"259",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2014,0
"260",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2015,0
"261",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2016,0
"262",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2017,8.92857142857143
"263",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2018,0
"264",22,"Santa Cruz County Adult Detention Center","Arizona","Santa Cruz",4023,"AZ",0,2019,0
"265",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2008,0
"266",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2009,2.23214285714286
"267",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2010,6.80272108843537
"268",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2011,0
"269",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2012,2.16450216450216
"270",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2013,0
"271",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2014,0
"272",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2015,2.03252032520325
"273",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2016,5.5452865064695
"274",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2017,7.11743772241993
"275",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2018,5.859375
"276",23,"Yavapai County Camp Verde Facility","Arizona","Yavapai",4025,"AZ",1,2019,3.89105058365759
"277",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2008,0
"278",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2009,0
"279",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2010,1.65289256198347
"280",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2011,0
"281",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2012,0
"282",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2013,0
"283",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2014,3.43642611683849
"284",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2015,0
"285",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2016,0
"286",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2017,3.7243947858473
"287",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2018,0
